NationalGridBmUnit,power_cap[MW],energy_cap[MWh]
BFSE01,49.0,79.33333333333333
AG-HLIM01,20.0,19.5
AG-HLIM02,40.0,39.0
AG-HLIM03,50.0,71.5
AG-HLIM04,50.0,60.0
AG-MFLX02,49.0,62.708333333333336
AG-PFLX01,50.0,98.0
ARNKB-2,10.0,10.0
BARNB-1,40.00000000000001,57.5
BHOLB-1,7.0,31.433333333333334
BROAB-1,11.0,36.0
BROFB-1,49.0,58.650000000000006
BURWB-1,49.0,67.5
CHAPB-1,49.0,137.5
CLAYB-1,49.0,156.71666666666667
CLAYB-2,49.0,226.5
CONTB-1,34.0,76.1
CRSSB-1,20.0,16.316666666666666
ILMEB-1,49.0,126.5
JAMBB-1,30.0,103.0
LITRB-1,50.0,172.5
NEWTB-1,48.333333333333336,82.18333333333334
PILLB-1,50.0,122.44999999999999
PILLB-2,50.0,158.76666666666665
ROOSB-1,49.0,22.5
SKELB-1,49.0,154.06666666666666
THMRB-1,49.0,127.1
TOLLB-1,49.0,57.0
BUSTB-1,49.0,141.825
COWB-1,49.0,89.26666666666667
CRUA-1,128.0,1793.0666666666666
CRUA-2,128.0,1929.6
CRUA-3,113.0,1588.5916666666667
CRUA-4,118.0,1582.9416666666666
DINO-1,300.0,4381.924999999999
DINO-6,300.0,3023.9
FFES-1,90.0,1069.0
FFES-3,90.0,477.6166666666667
FFES-4,90.0,730.0
FOYE-1,155.0,2089.916666666667
FOYE-2,155.0,1781.2083333333333
FOYED-1,0.0,0.0
WBURB-41,30.0,19.241666666666667
WBURB-43,30.0,14.0
WHLWB-1,50.0,99.16666666666669
WISHB-1,51.0,383.5
AG-CBS06B,20.0,13.166666666666666
AG-HEL00G,49.0,110.125
AG-HEL0DN,49.0,58.83333333333333
AG-HEL0CP,49.0,98.78333333333333
COVNB-1,49.0,98.5
PINFB-2,25.566666666666663,34.475
PINFB-1,25.0,32.15
ARNKB-1,39.633333333333326,118.19999999999999
PINFB-4,26.0,27.583333333333336
FARNB-1,20.0,51.10000000000001
NURSB-1,49.0,51.46666666666667
FFSE01,25.0,21.999999999999996
POTES-1,35.0,34.99166666666667
KEMB-1,49.0,60.40833333333333
AG-ZEN03J,29.0,164.20833333333334
PNYCB-1,10.0,11.2
NFSE02,29.0,36.69166666666666
AG-GEDF02,20.0,30.06666666666667
AG-GEDF01,20.0,24.733333333333334
ZEN02A,20.0,98.38333333333334
DINO-5,300.0,2434.325
AG-LLIM02,27.0,27.0
DINO-4,300.0,4715.733333333334
PINFB-3,26.0,29.8
FFES-2,93.0,701.5
ARBRB-1,35.0,60.650000000000006
DINO-3,300.0,4697.391666666666
AG-ASTK05,49.95,144.0
AG-LLIM01,29.0,31.5
DOLLB-1,99.0,242.23333333333335
CUPAB-1,40.0,73.73333333333333
AG-MSTK01,50.0,589.5083333333334
AG-JSTK02,6.0,10.433333333333335
AG-HSTK02,50.0,62.37500000000001
AG-HSTK01,50.0,82.33333333333331
HAWKB-1,20.0,49.0
DINO-2,300.0,2222.825
