,roc_value
CMSTW-1,112.91955436720143
ROTHW-1,112.92047377326566
PAUHW-1,108.85057471264368
CAIRW-2,83.18773135906928
MDHLW-1,88.0
TMNCW-1,80.52452830188679
ABRTW-1,71.3947667804323
ASHWW-1,73.30798479087453
ASLVW-1,73.47895057962172
BABAW-1,71.5
BETHW-1,97.44182965299684
BLARW-1,72.72103970528039
BNWKW-1,87.43364578194375
BRDUW-1,76.6484788290643
BRYBW-1,74.8404885934974
BTUIW-2,94.47307300509338
BTUIW-3,20.6032252279181
CLFLW-1,90.57701863354038
DALSW-1,92.67377899045019
GDSTW-1,95.38484967320262
GLOFW-1,87.0662643906312
GRGRW-1,60.861193398222596
HLTWW-1,85.38121212121212
HRHLW-1,88.82636820925553
MINSW-1,93.70417485265226
MOYEW-1,87.54653389505937
TULWW-1,86.90017064846417
TULWW-2,86.92579138557343
AKGLW-2,77.08265947888589
AKGLW-3,58.070775608913465
ARCHW-1,90.44821989528796
BHLAW-1,79.22062697338747
BLKWW-1,100.0
CGTHW-1,80.4098710233476
CREAW-1,78.01890909090909
CRGHW-1,79.33170731707317
CRMLW-1,82.610110775428
CRYRW-2,88.0
CRYRW-3,88.0
CUMHW-1,34.700938666666666
DALQW-1,89.69735182849936
DNLWW-1,94.96227722772278
DOUGW-1,70.7299316994777
DRSLW-1,87.46688028169014
EWHLW-1,89.72519216277317
FALGW-1,87.45111111111113
FAARW-1,87.41019157088124
FAARW-2,87.35325820351343
GLNKW-1,79.78316874194934
GLWSW-1,82.67842877425461
GNAPW-1,88.45117414248021
GORDW-1,82.97579422382672
GORDW-2,17.759513883234263
GRIFW-1,81.55339125855714
GRIFW-2,81.44601129639592
HALSW-1,30.833084224198224
HRSTW-1,91.49308056872039
KENNW-1,27.80113785046729
KILBW-1,101.74932935916543
KLGLW-1,87.41028841372452
KYPEW-1,24.05527508090615
LCLTW-1,84.5923076923077
MILWW-1,99.45222929936305
MKHLW-1,93.09388655462185
SAKNW-1,76.45240803943875
SANQW-1,76.63180914512922
STLGW-1,85.23204782196969
STLGW-2,85.2743711291091
STLGW-3,85.17179731379731
STRNW-1,76.46891776263666
TDBNW-1,84.21945705824284
TWSHW-1,78.92281753465717
WDRGW-1,77.48820383768481
WHIHW-1,90.0
WHILW-1,93.98630057803469
WHILW-2,95.50129893238432
WISTW-2,85.71428571428571
CLDNW-1,80.86921289875173
CLDSW-1,82.38905312993163
DUNGW-1,84.95813150684933
HADHW-1,79.1791091703057
CLDCW-1,80.87157239416577
CLDRW-1,74.28979837496239
EDINW-1,94.58083431060479
MYGPW-1,94.83149732620319
PNYCW-1,80.1662468513854
ACHRW-1,61.12246453132104
AFTOW-1,63.4069135152582
AIRSW-1,89.7769805708046
ANSUW-1,92.41637281404611
BEINW-1,81.78570302843099
BRNLW-1,73.6441845786766
COUWW-1,84.04387224451756
FSDLW-1,92.57619927683287
GFLDW-1,83.93593174380581
GLCHW-1,65.08128765319617
HBHDW-1,121.13037182062708
HLGLW-1,96.65172107225321
KTHLW-1,101.00214522467557
SOKYW-1,96.39314848578108
BURBW-1,123.11048780487806
BLLA-1,91.94519379844962
BLLA-2,87.08699731903485
BOWLW-1,88.32839930223805
GAOFO-1,186.5702479338843
GAOFO-3,187.12524017467248
GAOFO-2,185.11321705426354
GAOFO-4,187.29918181818184
GNFSW-1,124.62927007299272
GNFSW-2,124.05145299145299
LARYO-1,176.09116666666668
LARYO-2,176.16148936170214
LARYO-3,174.80485148514853
LARYO-4,176.4318253968254
RCBKO-1,152.56124716553288
RCBKO-2,152.04299999999998
RMPNO-1,164.5043137254902
RRWW-1,147.27474860335195
SGRWO-2,30.538097909229986
SGRWO-3,32.9394025974026
SGRWO-4,33.05240599417233
SGRWO-5,33.88571238338673
SGRWO-6,32.95018920349299
WDNSO-1,205.2409210526316
WLNYO-2,172.8860103626943
WLNYW-1,173.1521686746988
THNTO-2,160.44594594594594
THNTO-1,159.71428571428572
GRGBW-1,174.0441095890411
GRGBW-2,175.5925
GRGBW-3,176.3732894736842
SGRWO-1,30.870835114721395
ABRBO-1,176.9402985074627
DBAWO-1,177.56772701184516
DBAWO-2,138.01691416246217
DBAWO-3,207.9267454728688
DBAWO-4,216.77918287305522
DBAWO-5,99.18758696956101
GYMRO-15,165.99009383146418
GYMRO-17,74.85400976928364
GYMRO-26,123.1017579290699
GYMRO-28,157.5440796715615
HMGTO-1,186.34519907705985
HMGTO-2,121.23745625942537
HYWDW-1,209.2322962183099
KINCW-1,131.6625784710248
LNCSO-1,140.77497982744723
LNCSO-2,115.60059351631624
OMNDO-1,294.4555229808166
RMPNO-2,156.69299466927401
RREW-1,128.76537084422094
SHRSO-1,63.86025125510241
SHRSO-2,73.17555794242796
WDNSO-2,101.29910165470992
WTMSO-1,169.93826412317227
LCSMH-1,44.95
CAS-BEU01,67.13
CAS-CLU01,67.13
CAS-CON01,67.13
CAS-GAR01,67.13
CAS-KIL01,67.13
CAS-MOR01,67.13
