Week,B6 - SCOTEX,B6 import - HARETORIM,B5 - SSE+GRM,B2 - SSEN-S,B4 - SSE-SP2,B5 - NKILGRMO,SW1 - SWALEX,LE1 - SEIMPPR2,no equivalent - HUMBEREX ,B15 - ESTEX,B7 - SSHARN3
2021-03-29,4950,3500,2300,2950,2000,1900,3200,5500,6500,7000,6600
2021-04-05,4350,3000,2200,2950,2000,1900,3200,5500,6500,7000,6600
2021-04-12,4500,2500,2700,2950,2700,1600,3200,4500,6500,5800,6900
2021-04-19,4650,3500,2300,2950,2700,1900,3200,4500,6500,5800,6900
2021-04-26,4650,3500,2300,2950,2700,1900,3200,4500,6500,6200,6900
2021-05-03,4650,3000,2300,1600,1800,1400,2700,5700,6200,6200,6900
2021-05-10,4650,3000,2300,2950,2700,1900,2700,5700,6200,6200,6900
2021-05-17,4950,3000,2300,2950,2700,1900,2800,5700,6200,6200,6900
2021-05-24,4950,3000,2300,2950,2700,1900,2800,5200,6200,6700,6900
2021-05-31,4950,3000,2300,2950,2700,1900,2800,5500,7000,6200,6900
2021-06-07,4650,3000,2300,1800,2000,1900,2800,5500,7000,6700,4500
2021-06-14,4650,3000,2300,1800,2000,1900,2800,6000,7000,6700,5000
2021-06-21,3400,2150,2300,1600,1800,1400,2800,6000,7000,7000,4850
2021-06-28,3400,2150,2300,1600,1800,1400,3000,5500,7000,7000,4850
2021-07-05,3400,2150,1600,2950,1600,1900,3000,5500,7000,7200,4850
2021-07-12,3400,2150,1600,2950,1600,1900,3000,5500,7000,7500,4850
2021-07-19,3400,2150,1600,2950,1600,1900,3000,5500,7000,7500,4850
2021-07-26,3400,2150,1600,2950,1600,1900,3200,5500,7000,7300,4850
2021-08-02,4950,3500,2300,2950,2000,1900,2800,5500,7000,7300,5800
2021-08-09,4950,3500,2300,2950,2000,1900,3200,5500,7000,7000,5800
2021-08-16,4950,3500,2700,1600,1800,1400,3200,6200,7000,7300,5800
2021-08-23,4950,3500,2700,1600,1800,1400,3200,6000,7000,6700,5800
2021-08-30,4950,3500,2700,1600,1800,1400,3200,6000,6800,7000,5800
2021-09-06,4300,3500,2700,1600,1800,1400,3200,6000,6800,7000,5800
2021-09-13,4300,3500,2700,1600,1800,1400,3200,6000,6500,7000,6300
2021-09-20,4300,3500,2700,1600,1800,1400,3200,6000,6500,7000,7000
2021-09-27,4950,3500,2700,1600,1800,1400,3200,6000,6700,7000,7000
2021-10-04,4500,3500,2700,2950,2000,1900,3200,5200,7000,7300,7000
2021-10-11,5200,3500,2700,2950,2000,1900,3200,5000,7000,7100,6300
2021-10-18,5200,3500,2700,1600,1800,1900,3200,4500,7000,7100,6300
2021-10-25,4400,3500,2700,1600,1800,1900,3200,5200,7000,7100,6300
2021-11-01,4650,3500,2700,1600,1800,1900,3200,4800,7000,7500,6100
2021-11-08,3550,3500,2700,1600,1800,1900,3200,4800,7000,7500,6100
2021-11-15,4400,3500,2700,2950,2000,1900,2800,4800,7000,7500,6700
2021-11-22,4400,3500,2700,2950,2000,1900,2800,6000,7000,7300,6700
2021-11-29,4400,3500,2700,2950,2000,1900,3200,6000,7000,7300,7000
2021-12-06,4650,3500,2700,2950,2000,1900,3500,7000,7000,6500,7000
2021-12-13,4100,3500,2700,2950,2000,1900,3500,7000,7000,7500,7000
2021-12-20,4100,3500,2700,2950,2700,1900,3500,7000,7000,7500,7000
2021-12-27,4650,3500,2700,2950,2000,1900,3500,7000,7000,7500,7000
2022-01-03,4650,3500,2700,2950,2000,1900,3500,7000,7000,7500,7000
2022-01-10,4650,3500,2700,2950,2000,1900,3500,7000,7000,7500,6800
2022-01-17,4650,3500,2700,2950,2000,1900,3500,7000,7000,7500,7000
2022-01-24,4650,3500,2700,2950,2000,1900,3500,7000,7000,7500,6500
2022-01-31,4650,3500,2700,1600,1800,1900,3500,7000,7000,7500,7000
2022-02-07,4650,3500,2700,1600,1800,1900,3500,7000,7000,7500,6500
2022-02-14,4650,3500,2700,2950,2700,1900,3500,7000,7000,7500,6800
2022-02-21,4650,3500,2700,2950,2700,1900,3500,7000,7000,7500,6600
2022-02-28,4650,3500,2700,2950,2700,1900,3200,7000,7000,7500,6600
2022-03-07,4650,3500,2700,2950,2700,1900,3200,6200,7000,6200,7000
2022-03-14,4650,3500,2700,2950,2700,1900,3200,6200,6700,6000,7000
2022-03-21,4650,3500,2700,2950,2700,1900,3200,6200,6700,5700,7000
2022-03-28,4650,3500,2700,2950,2700,1900,3200,6500,6700,5700,6800
